Truth,Model,Critic
D,C,No.
A,A,yes
A,(C),no
A,A,yes
C,C,yes
B,B,yes
C,(C),yes
C,C,yes
C,B,no
C,C,yes
B,(B),yes
D,A,no
C,C,yes
D,(D),yes
26,B,no
5,B,yes
C,(D),No.
10,A,yes
C,(B),no
B,D,no
D,(D),yes
C,(A),no
B,A,no
A,A,yes
C,C,yes
B,B,yes
D,C,no
C,C,no
C,(D),no
B,B,yes
D,D,yes
C,C,yes
A,A,yes
B,(C),no
A,A,yes
B,B,yes
C,(A) \ce{R-S-R},no
D,B,no
B,B,no
A,C,No.
C,A,no
0,C,yes
A,(B),No.
A,C,no
C,D,No.
C,(A),no
D,D,yes
D,D,yes
D,(B),No.
D,D,yes
A,D,No.
B,(A),no
B,C,no
D,D,yes
B,(B),yes
C,D,no
C,C,yes
D,B,no
C,(C),yes
B,(B),yes
A,A,yes
B,(B),yes
D,A,No.
D,D,yes
C,C,yes
A,A,yes
B,(B),yes
D,C,no
C,D,No.
A,A,yes
A,C,no
A,A,yes
D,C,No.
C,(B),No.
D,D,yes
B,C,no
B,(D),No.
B,(B),yes
B,A,no
C,B,no
B,B,yes
A,A,yes
C,C,no
B,B,yes
C,C,yes
8,C8H8,yes
14,A,yes
A,A,no
B,C,no
A,B,no
B,(B),yes
C,(B),no
9,2,no
C,C,yes
B,C,no
B,A,No.
A,(C),No.
A,A,yes
A,(A),yes
C,(C) G-C,yes
C,C,yes
A,B,no
B,A,no
C,D,No.
A,A,yes
C,(B),no
D,A,no
C,(D),No.
D,A,no
A,E,No.
D,D,yes
A,(D),No.
E,D,No.
B,A,no
D,(D),yes
D,D,yes
A,A,yes
D,D,yes
C,C,yes
9,C,yes
C,C,yes
C,A,no
C,(A),no
B,C,no
A,D,No.
D,D,yes
A,A,yes
A,A,yes
A,(A),yes
D,D,yes
D,(D),yes
C,A,no
A,C,No.
C,D,No.
A,B,no
D,D,yes
A,A,yes
C,(D),no
B,B,yes
D,D,yes
2,B,no
4,A,yes
C,C,yes
D,C,no
3,D,yes
A,(A),yes
C,A,no
A,(A),yes
B,C,No.
B,(B),yes
C,C,yes
B,D,no
A,D,No.
D,D,yes
B,C,No.
B,B,yes
12,D,no
A,B,no
D,D,yes
25,C,yes
B,B,yes
C,B,No.
D,(D),yes
A,A,yes
D,D,yes
B,D,No.
D,C,no
C,C,yes
C,B,no
A,A,yes
D,(B),no
A,(B) Gradient elution with increasing imidazole concentration on a chromatography machine,no
C,C,yes
C,C,yes
B,(B),yes
D,D,yes
D,A,no
A,B,no
C,C,yes
D,D,yes
B,A,no
3,D,no
C,D,no
A,B,no
B,B,yes
B,C,no
A,A,yes
B,D,no
A,(A),yes
1,C,yes
A,A,yes
B,C,No.
D,D,yes
C,A,no
D,C,No.
D,(C),No.
D,D,yes
A,(A),yes
C,(C),yes
C,D,no
B,B,yes
B,D,no
A,A,yes
C,C,yes
A,D,no
D,B,no
C,(A),No.
3,B,yes
B,(B),yes
B,D,no
A,A,yes
D,D,yes
A,D,No.
A,C,no
A,B,no
B,(C),No.
B,(B),yes
D,D,yes
D,D,yes
D,D,yes
26,C,no
A,D,No.
D,B,no
B,B,yes
C,C,yes
B,D,No.
C,(A),No.
B,A,no
C,C,yes
A,B,no
B,D,no
C,C,yes
A,A,yes
B,(C),no
A,C,no
B,D,no
C,C,yes
B,D,no
D,A,no
C,C,yes
A,A,yes
B,(B),yes
4,B,yes
A,A,yes
8,C5,No.
C,C,yes
18,A,yes
A,D,No.
D,A,no
E,B,no
C,C,yes
D,D,yes
C,B,No.
C,C,yes
B,A,no
D,D,yes
C,C,yes
A,B,no
A,A,yes
D,(E),no
A,A,no
A,(A),yes
C,D,No.
B,A,no
B,B,yes
A,B,no
D,(D),yes
D,B,No.
B,(C),no
E,(C),No.
A,D,No.
D,(A),no
C,(B),no
D,C,no
B,(D),No.
D,C,no
C,C,yes
18,A,yes
A,B,no
B,(B),yes
D,(B),No.
A,A,yes
C,C,yes
5,A,yes
11,B,yes
B,B,yes
C,C,yes
D,A,No.
C,A,no
C,D,no
C,B,no
B,(B),yes
C,D,No.
C,D,no
C,D,no
A,A,yes
C,(C),yes
D,D,yes
E,E,yes
A,C,No.
6,C,yes
B,D,no
A,A,yes
A,B,no
A,(C),No.
B,(A),no
A,A,yes
C,(C),yes
D,D,yes
B,B,yes
A,B,no
A,A,yes
B,B,yes
A,A,yes
8,D,yes
A,D,no
A,D,no
A,(B),No.
C,C,yes
C,D,No.
A,B,no
A,D,no
5,A,yes
C,B,no
5,A,yes
2,C,no
A,C,no
B,B,yes
B,B,yes
D,(B),No.
D,D,yes
C,D,no
A,A,yes
A,A,yes
D,C,no
D,D,yes
C,B,no
D,(D),yes
D,A,no
B,B,yes
D,D,yes
C,C,yes
C,(C),yes
B,(B),yes
B,D,no
B,B,yes
C,C,yes
B,(B),yes
1,A,yes
C,C,yes
D,A,no
A,A,yes
C,(C),yes
D,D,yes
C,C,yes
B,B,yes
A,A,yes
B,D,no
D,D,yes
A,B,no
1,A,no
C,C,yes
A,A,yes
D,D,yes
C,C,yes
A,(D),no
C,C,yes
A,A,yes
D,(C),no
A,B,no
B,B,yes
B,B,yes
D,(D),yes
A,C,no
C,C,yes
C,C,yes
A,A,yes
B,B,yes
D,B,no
C,C,yes
E,D,no
C,(C),no
C,A,No.
D,E,No.
B,B,yes
B,A,no
A,A,yes
C,C,yes
C,B,no
C,C,yes
A,A,yes
D,D,yes
B,(B),yes
B,B,yes
C,C,yes
9,A,yes
C,C,yes
B,(B),yes
B,(C),No.
A,A,yes
C,D,no
D,C,no
B,D,no
A,A,yes
D,D,yes
A,B,no
3,C,yes
C,C,yes
A,A,yes
A,(A),yes
A,(B),no
D,D,yes
C,D,no
A,(D),No.
C,D,No.
B,B,yes
D,D,yes
D,D,yes
D,C,no
B,(D),No.
3,A,yes
A,A,yes
1,A,yes
A,A,yes
7,A,yes
A,B,no
B,D,no
E,(C),no
B,(A),no
