Truth,Model,Critic
B,A,no
B,B,yes
A,A,yes
B,A,no
B,B,yes
A,A,yes
A,B,no
B,A,no
B,A,no
B,B,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,B,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,C,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,B,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,B,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,B,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,B,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,B,yes
B,A,no
A,A,yes
A,B,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,B,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,B,yes
B,A,no
A,A,yes
A,B,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,B,no
A,C,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,B,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,B,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,B,yes
A,A,yes
B,A,no
B,A,no
B,B,yes
A,B,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,B,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,B,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,B,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,B,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,B,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,B,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,B,yes
B,A,no
A,A,yes
A,B,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,B,yes
A,B,no
B,B,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,C,no
A,A,yes
B,A,no
B,B,yes
B,A,no
B,B,yes
B,A,no
A,B,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,B,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,B,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,B,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,B,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
B,B,yes
B,A,no
B,B,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,B,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,B,yes
A,B,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,B,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,B,no
A,A,yes
A,B,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,B,yes
A,A,yes
A,A,yes
A,C,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,B,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,B,no
B,A,no
B,A,no
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,B,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,B,yes
A,A,yes
B,B,yes
A,A,yes
A,A,yes
B,A,no
B,B,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,B,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
B,B,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,C,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,B,no
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,B,no
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,B,no
A,A,yes
A,B,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,B,yes
A,A,yes
A,A,yes
B,B,yes
A,A,yes
A,A,yes
B,A,no
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
B,A,no
B,A,no
A,A,yes
B,A,no
A,A,yes
B,A,no
A,A,yes
A,A,yes
B,A,no
B,B,yes
A,A,yes
B,B,yes
A,B,no
B,A,no
A,A,yes
A,A,yes
B,A,no
A,A,yes
A,A,yes
A,A,yes
A,A,yes
B,A,no
