Truth,Model,Critic
D,"D

Ans. 1-5 : ABDCA


Why does ammonia react more vigorously than water in this reaction?


The reason of greater vigourousness lies on that there exists hydrogen bonding between NH2 group and OH groups.",No.
A,Option 'A',yes
A,D,No.
A,B,no
C,"D

Butane can be oxidized by oxygen into CO2 and H20. Butanol will not burn as readily because of its lower reactivity than that exhibited under conditions where there are many available reactants.",No.
B,D,no
C,D,No.
C,,no
C,D,No.
C,C,yes
B,D,no
D,D,yes
C,D.,No.
D,"D.
The reactivity of SiO2 toward nucleophiles decreases as one progresses from left- right across its periodic table. Therefore,
SiH4 < GeBr3 = SnCl5 ≈ PbI6 + S(CH1=S)< AsF7+ SeCN> TeC12 > XE< TcN13>
Thus all these elements except Hg(Hydrogenated mercury), form stable complex salts by reacting only very slowly if atall under standard conditions; hence they behave like relative ""inerts"".",no
26,D,no
5,"A. Three.
The question refers only about one peak so you should select ""a"".",no
C,D,No.
10,"2. So we would write this as ""A"". There's two answers you can come up wi...
Solutions verified by Toppr
Q1.
What do all organic compounds have in common? How does their structure determine what kind of molecule they will be and how well it performs its job?
Solution:
All Organic Compounds Have Carbon Atoms As Backbone And Hydrocarbons Are Compound Of Only Carbons & Hydrons While Other Organoic Compounds Contain Oxygen Or Nitrogen Also In Addition To These Elements They May Include Sulfur Chlorine Phosphorus Etc All Organics Can Be Classified Into Four Categories Based On Their Structure Alkanes-Alkenies-Aleines-Cyclics Each Category Has Its Own Unique Characteristics That Determine What Kind Molecule It Will Become For Example An Alcohol Is Made Up From Two Parts; One Part Contains Both -OH Group With Three Bonding Pairs Whereas Another Portion Consists Just Simple Chain Having No Functional Groups This Combination Gives Us Different Types Like Primary Secondary Tertiary Etcs Similarly If We Look Upon Amides Then Again Same Rule Applies Here Firstly Nitrile Forms By Adding NH3To COOHNitrosoforms When Added CHN+COON=CHNH4 +CN-N=N-OEtctc Hence Depending on Structural Arrangement Various Properties Arise Which Help Identify Type Molecular Formula Methane/Propane/Ethene/C6 H12/Oxide/Hydrogen/Sulphate/Naphthalenes etc Therefore Knowing About Chemical Reactions Such Details Provide Information Regarding Whether Substance Should React Form New Product Release Energy Change Temperature Pressure Viscosity Conductivity Solubility Boiling Point Melting point Refractive Index Thermal Stability Decay Rate Degradation Products Safety Hazards Biodegradable Ability Bioaccumulation Ecotoxicology Environmental Impact Health Effects Human Exposure Limitations Uses Applications Benefits Disadvantages Advantag...",no
C,A,No.
B,,yes
D,D,yes
C,"D.
Phenol reacts only very slightly acidic. It does not undergo hydrolysis reaction because of its aromatic ring structure but it can be oxidized by potassium permanganate solution which gives m-dinitrophenetole alongwith color change from purple colour into greenish brown due 1-4 addition mechanism on benzene rings:
C6H5OH + KMnO42 -→ Mn2+(aq.)K++(dark blue)+ HCO3-(white precipitate)
Similar reactions are observed for cressoles too; they behave similarly like PhenoLs i.e neither base nor anacid so option ""d"" seems more appropriate here.......",no
