Truth,Model,Critic
A,D,no
B,B,yes
A,A,yes
D,(H),no
B,A,no
A,A,yes
E,E,yes
A,A,yes
B,(B),yes
C,H,no
D,C,No.
A,B,No.
A,(A),No.
A,D,No.
A,A,yes
A,B,no
A,D,No.
B,A,no
B,(B),yes
A,B,No.
D,D,yes
D,(D),yes
C,(H),no
A,A,yes
C,H,no
C,H,no
B,(B),yes
D,A,no
C,D,no
C,H,no
D,H,no
C,C,yes
C,A,no
C,H,no
C,B,no
A,A,yes
A,A,yes
A,H,no
D,A,no
A,A,yes
B,B,yes
A,A,yes
C,C,yes
D,C,no
F,(H),no
C,H,no
C,(C),yes
F,H,no
D,D,yes
D,A,no
B,H,no
A,C,no
E,B,No.
D,D,yes
A,A,yes
F,H,no
B,A,no
A,(A),yes
A,D,no
D,D,yes
F,H,no
D,A,no
E,(E),yes
D,H,no
A,D,No.
B,C,no
D,A,no
D,A,no
C,D,No.
B,B,yes
A,C,no
D,H,no
A,(H),no
D,D,yes
D,H,no
B,B,yes
A,A,yes
C,A,no
A,C,no
B,(B),yes
F,(H),no
A,A,yes
B,D,No.
D,A,no
A,A,yes
B,B,yes
D,A,no
A,(B),No.
A,(H),no
B,B,yes
A,(C),no
C,D,no
D,A,no
F,H,no
D,H,no
C,C,yes
C,C,yes
A,B,no
D,A,no
C,C,yes
A,E,No.
A,A,yes
A,D,No.
A,D,No.
H,C,no
B,A,no
B,H,no
D,D,yes
B,B,yes
D,D,yes
D,D,yes
D,A,No.
C,C,yes
D,A,no
E,(E),yes
D,H,no
A,D,no
B,A,no
D,A,no
C,B,no
C,(D),no
B,A,no
C,H,no
A,(A) Explosion,yes
A,(B),No.
D,H,no
B,(C),No.
C,C,yes
B,A,no
D,A,no
B,B,yes
D,H,no
C,H,no
D,A,no
D,H,no
D,H,no
B,A,no
A,(C),No.
C,C,yes
D,H,no
D,A,no
B,B,yes
A,A,yes
D,H,no
F,H,no
A,(A),yes
A,B,no
A,A,yes
A,A,yes
B,A,no
C,A,no
B,B,yes
D,D,yes
B,A,no
B,(B),yes
B,B,yes
B,B,yes
A,(B),no
C,C,yes
A,A,yes
B,B,yes
B,D,no
A,A,yes
C,D,no
B,B,yes
B,A,no
C,C,yes
D,(H),no
A,A,yes
B,A,no
D,D,yes
A,(B),No.
A,D,no
D,C,No.
D,H,no
A,H,no
C,(C),yes
A,(B),no
B,A,no
G,H,no
C,H,no
B,A,no
B,C,no
C,D,no
D,C,no
D,H,no
B,A,no
C,(B),No.
C,C,yes
B,B,yes
D,D,yes
D,H,no
B,B,yes
D,H,no
C,C,yes
D,D,yes
D,H,no
A,A,yes
A,(B),No.
D,H,no
D,A,no
B,A,no
A,A,yes
D,D,yes
D,D,yes
C,C,yes
B,B,yes
A,H,no
B,B,yes
A,C,No.
D,A,no
B,B,yes
B,(B),yes
C,A,no
B,(H),no
B,(H),no
C,A,No.
B,B,yes
B,C,No.
C,D,No.
D,(B),no
A,C,no
B,A,no
D,C,No.
E,A,No.
A,(A),yes
B,D,no
D,H,no
B,A,No.
A,AC,No.
A,H,no
D,H,no
C,(C),yes
B,D,No.
D,A,no
B,(B),yes
A,A,yes
A,(C),No.
D,H,no
A,A,yes
A,(B),no
B,H,no
B,A,no
A,B,No.
C,H,no
G,H,no
D,A,no
D,C,No.
C,A,no
D,H,no
C,A,no
E,(E),yes
G,H,no
G,H,no
B,A,no
B,A,no
C,A,no
C,(C),yes
A,C,No.
D,H,no
A,A,yes
B,H,no
D,H,no
D,D,yes
D,H,no
D,A,no
B,D,no
D,H,no
D,A,no
E,A,no
D,A,No.
A,A,yes
C,H,no
A,B,no
A,ACD,no
C,H,no
B,B,yes
C,(C),yes
D,D,yes
B,C,No.
A,(B),No.
D,A,no
D,A,no
C,H,no
C,C,yes
B,B,yes
D,A,No.
C,C,yes
A,D,no
A,B,no
A,(B),No.
C,D,no
D,H,no
A,H,no
C,D,no
A,(C),No.
D,A,no
B,A,no
A,D,No.
B,A,no
C,D,No.
D,B,no
C,C,yes
B,A,no
D,A,no
A,B,No.
A,(B),no
B,E,no
A,B,no
A,H,no
D,A,no
D,D,yes
C,(A),No.
A,E,no
A,H,no
A,D,no
H,H,yes
B,A,no
A,D,No.
A,C,No.
D,D,no
A,A,yes
D,A,no
D,A,no
C,(H),no
C,C,yes
D,H,no
A,(H),no
C,B,no
C,(B),no
B,B,yes
D,D,yes
A,A,No.
D,D,yes
D,H,no
B,A,no
A,A,yes
A,A,yes
A,C,no
A,(C),No.
B,A,no
A,C,No.
C,(B),no
C,C,yes
A,A,yes
G,A,No.
A,(B),No.
