Truth,Model,Critic
C,B,no
A,C,no
5,C,no
4,B,no
C,C,yes
B,(B) \pu{11.7 T},yes
A,D,no
6,A,yes
C,B,no
B,B,yes
7,A,yes
2,B,yes
7,C,no
D,D,yes
B,(C),no
C,C,yes
C,D,no
6,D,no
6,D,no
D,(A),no
7,A,yes
10,D,no
3,A,yes
C,B,No.
8,A,no
C,C,no
A,D,no
A,(A) RI-detector,yes
C,(C) Slippery,yes
A,A,yes
8,D,no
9,A,yes
B,B,yes
4,C,no
B,(B),yes
4,C,no
4,A,yes
A,(A),yes
C,(C),yes
D,D,yes
B,A,no
C,C,no
C,C,yes
B,C,no
C,C,yes
6,C,no
4,A,yes
5,B,no
B,C,no
D,(D),yes
A,A,yes
E,E,yes
C,C,yes
D,(C) 4,no
B,C,no
D,D,yes
C,(A),no
C,C,yes
A,A,yes
A,B,no
D,A,no
6,D,no
8,A,yes
3,A,yes
C,D,no
B,D,No.
D,D,yes
B,(A) Decreases,no
11,B,no
10,A,no
C,C,yes
7,D,no
D,C,no
6,D,no
E,C,no
D,C,no
C,D,no
C,C,yes
4,A,yes
9,C,no
A,D,no
A,C,no
A,A,yes
C,C,yes
C,C,yes
C,(C),yes
5,A,yes
8,B,no
C,A,no
8,D,no
C,C,no
A,D,no
A,A,yes
A,(D),no
9,C,no
5,A,yes
5,C,no
A,B,no
A,C,No.
C,A,No.
C,C,yes
A,C,no
B,D,no
A,C,No.
10,A,yes
4,B,no
C,A,no
E,E,yes
B,B,yes
A,B,no
A,C,no
C,C,yes
D,C,no
10,D,no
C,A,no
D,C,No.
A,D,No.
A,B,no
C,D,No.
B,A,no
11,A,no
8,C,no
7,A,yes
A,C,no
B,B,yes
3,A,yes
A,B,no
A,(A),yes
A,B,no
7,B,no
10,C,no
A,A,yes
B,B,yes
3,D,no
B,C,No.
7,A,yes
C,C,yes
B,C,no
D,B,no
D,(C),no
C,(C),yes
B,B,yes
6,B,no
D,A,No.
C,C,yes
12,C,no
6,D,no
7,A,yes
B,B,yes
A,(A),yes
D,C,no
C,A,no
