Truth,Model,Critic
B,,yes
B,,yes
A,B,no
B,B,yes
B,,yes
A,,yes
A,,yes
B,,yes
B,D,no
B,,yes
B,,yes
B,,yes
B,B,yes
B,,yes
B,,yes
A,B,no
B,,yes
B,,yes
A,,yes
A,B,no
B,,yes
B,A,no
A,,yes
A,,yes
A,,yes
A,,yes
A,,yes
B,A,no
B,A,no
B,D,no
B,,yes
A,,yes
B,,yes
A,D,no
B,B,yes
B,,yes
A,,yes
A,,yes
B,,yes
A,,yes
A,,yes
B,B,yes
A,A,yes
A,,yes
A,B,no
B,,yes
A,,yes
B,,yes
B,A,no
B,,yes
B,,yes
B,,yes
B,B,yes
A,,yes
B,,yes
B,,yes
A,,yes
A,,yes
A,,yes
B,B,yes
A,,yes
B,,yes
A,,yes
B,,yes
A,B,no
A,,yes
A,,yes
A,,yes
B,,yes
B,,yes
A,B,no
B,A,no
B,,yes
B,,yes
A,A,yes
B,,yes
A,B,no
B,,yes
A,B,no
B,,yes
B,,yes
B,,yes
B,,yes
A,,yes
A,A,yes
A,A,yes
A,A,yes
B,,yes
A,,yes
B,,yes
B,,yes
B,B,yes
B,,yes
B,,yes
A,B,no
B,,yes
B,,yes
A,,yes
B,B,yes
B,B,yes
A,A,yes
B,,yes
B,,yes
B,,yes
A,A,yes
B,B,yes
A,,yes
A,,yes
B,B,yes
B,,yes
A,,yes
A,A,yes
B,A,no
A,B,no
B,,yes
B,,yes
B,,yes
A,,yes
A,A,yes
B,,yes
B,D,no
A,,yes
B,A,no
B,,yes
A,,yes
B,,yes
B,B,yes
A,,yes
A,B,no
B,,yes
A,,yes
A,A,yes
A,,yes
B,A,no
B,B,yes
A,,yes
B,A,no
B,A,no
A,A,yes
B,,yes
A,A,yes
B,,yes
A,,yes
A,,yes
A,,yes
B,,yes
B,,yes
B,,yes
B,A,no
B,,yes
A,A,yes
A,A,yes
A,A,yes
A,,yes
A,B,no
B,B,yes
B,A,no
A,,yes
A,,yes
B,B,yes
B,A,no
B,,yes
A,A,yes
A,,yes
A,,yes
B,,yes
B,A,no
A,,yes
A,A,yes
A,A,yes
A,B,no
A,,yes
A,A,yes
B,B,yes
A,,yes
A,,yes
B,A,no
B,,yes
A,,yes
B,,yes
B,A,no
A,B,no
A,,yes
A,A,yes
A,,yes
A,A,yes
B,B,yes
B,,yes
A,,yes
A,,yes
B,,yes
A,,yes
B,A,no
B,A,no
A,D,no
B,,yes
A,A,yes
A,A,yes
B,,yes
B,,yes
