Truth,Model,Critic,Subject
C,D,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
D,B,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
D,B,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
A,A,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
D,B,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
C,There is no smiles provided in the question. Please provide the smiles formula of the chemical first.,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
B,"The Chinese name for this chemical is (D) (R)-2,2',3,3'-四氢-6,6'-二(1-萘基)-1,1'-螺二[1H-蚌]-7,7'二醇",no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
C,A,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
A,A,yes,Name_Conversion_benchmark
D,C,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,C,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
D,A,no,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
B,D,no,Name_Conversion_benchmark
A,B,no,Name_Conversion_benchmark
B,C,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
C,C,yes,Name_Conversion_benchmark
B,B,yes,Name_Conversion_benchmark
C,D,no,Name_Conversion_benchmark
C,B,no,Name_Conversion_benchmark
B,A,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
A,D,no,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
B,(B),yes,Name_Conversion_benchmark
D,D,yes,Name_Conversion_benchmark
